No.,Category,URL,Name,Description,Author,Rating,Price
14,Design,https://www.udemy.com/course/graphic-design-for-beginners/,"Graphic Design Bootcamp: Photoshop, Illustrator, InDesign","Bestselling Beginner Course! Use Photoshop, Illustrator, & InDesign for logo design, web design, poster design, and more",Derrick Mitchell,4.48195,€18.99
15,Design,https://www.udemy.com/course/web-design-for-beginners-real-world-coding-in-html-css/,Web Design for Beginners: Real World Coding in HTML & CSS,"Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass and more!",Brad Schiff,4.64591,€19.99
16,Design,https://www.udemy.com/course/adobe-illustrator-course/,Adobe Illustrator CC - Essentials Training Course,"Learn Adobe Illustrator CC graphic design, logo design, and more with this in-depth, practical, easy-to-follow course!","Video School, Phil Ebiner, Daniel Walter Scott, Instructor HQ",4.73849,€18.99
17,Development,https://www.udemy.com/course/complete-python-bootcamp/,2020 Complete Python Bootcamp: From Zero to Hero in Python,Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,Jose Portilla,4.57456,€11.99
18,Development,https://www.udemy.com/course/the-web-developer-bootcamp/,The Web Developer Bootcamp 2020,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",Colt Steele,4.65792,€11.99
19,Development,https://www.udemy.com/course/machinelearning/,Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, SuperDataScience Support",4.55076,€18.99
20,Development,https://www.udemy.com/course/the-complete-guide-to-angular-2/,Angular - The Complete Guide (2020 Edition),"Master Angular 10 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",Maximilian Schwarzmüller,4.5893,€13.99
21,Development,https://www.udemy.com/course/java-the-complete-java-developer-course/,Java Programming Masterclass for Software Developers,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,"Tim Buchalka, Tim Buchalka's Learn Programming Academy, Akinjole Abisola Joy, Joe Sikuea, Kirk DeMartini, Laura Lang",4.57053,€11.99
22,Development,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,"React - The Complete Guide (incl Hooks, React Router, Redux)","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.62617,€11.99
23,Development,https://www.udemy.com/course/the-complete-web-development-bootcamp/,The Complete 2020 Web Development Bootcamp,"Become a full-stack web developer with just one course. HTML, CSS, Javascript, Node, React, MongoDB and more!",Dr. Angela Yu,4.70562,€11.99
24,Development,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Jose Portilla,4.60693,€18.99
25,Development,https://www.udemy.com/course/the-complete-javascript-course/,The Complete JavaScript Course 2020: Build Real Projects!,"Master JavaScript with the most complete course! Projects, challenges, quizzes, JavaScript ES6+, OOP, AJAX, Webpack",Jonas Schmedtmann,4.58764,€13.99
26,Development,https://www.udemy.com/course/unitycourse/,Complete C# Unity Game Developer 2D,"Learn Unity in C# & Code Your First Seven 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap (35 hours)","Ben Tristem, GameDev.tv Team, Rick Davidson",4.65085,€19.99
27,Development,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,The Data Science Course 2020: Complete Data Science Bootcamp,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning","365 Careers, 365 Careers Team",4.51948,€18.99
28,Development,https://www.udemy.com/course/automate/,Automate the Boring Stuff with Python Programming,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",Al Sweigart,4.61797,€16.99
29,Development,https://www.udemy.com/course/the-complete-web-developer-course-2/,The Complete Web Developer Course 2.0,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!","Rob Percival, Codestars by Rob Percival",4.51782,€17.99
30,Development,https://www.udemy.com/course/react-redux/,Modern React with Redux [2020 Update],"Master React v16.6.3 and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",Stephen Grider,4.67358,€11.99
31,Development,https://www.udemy.com/course/python-the-complete-python-developer-course/,Learn Python Programming Masterclass,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",4.55044,€16.99
32,Development,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,The Complete Node.js Developer Course (3rd Edition),"Learn Node.js by building real-world applications with Node, Express, MongoDB, Jest, and more!","Andrew Mead, Rob Percival",4.69497,€11.99
33,Marketing,https://www.udemy.com/course/learn-digital-marketing-course/,The Complete Digital Marketing Course - 12 Courses in 1,"Master Digital Marketing Strategy, Social Media Marketing, SEO, YouTube, Email, Facebook Marketing, Analytics & More!","Rob Percival, Daragh Walsh, Codestars by Rob Percival",4.44716,€20.99
34,Marketing,https://www.udemy.com/course/the-ultimate-google-adwords-training-course/,Ultimate Google Ads Training 2020: Profit with Pay Per Click,Google Ads 2020: How our clients have transformed their sales using Google Ads & get your Google Ads certification!,Isaac Rudansky,4.67137,€20.99
35,Marketing,https://www.udemy.com/course/instagram-marketing-for-small-businesses/,Instagram Marketing 2020: Complete Guide To Instagram Growth,"Attract Hyper-Targeted Instagram Followers, Convert Followers to Paying Customers, & Expand your Brand Using Instagram","Benjamin Wilson, Entrepreneur Academy",4.42807,€20.99
36,Marketing,https://www.udemy.com/course/facebook-ads-facebook-marketing-mastery-guide/,Facebook Ads & Facebook Marketing MASTERY 2020 | Coursenvy ®,"Facebook Marketing from beginner to advanced! Join 100,000+ students who MASTERED Facebook and are Facebook Ads experts!",COURSE ENVY,4.41864,€21.99
37,Marketing,https://www.udemy.com/course/digital-marketing-masterclass/,Digital Marketing Masterclass - 23 Courses in 1,"Grow Your Business with Digital Marketing: Social Media Marketing, Facebook, Content, YouTube, Email Marketing, Websites","Phil Ebiner, Diego Davila, Video School",4.37675,€22.99
38,Marketing,https://www.udemy.com/course/sql-for-newbs/,SQL for Data Analysis: Weekender Crash Course for Beginners,"Using MySQL but applicable to Oracle SQL, Microsoft SQL Server, and PostgreSQL. Taught by a Data Scientist and PM.","A Course You'll Actually Finish, David Kim, Peter Sefton",4.27566,€18.99
39,Marketing,https://www.udemy.com/course/social-media-marketing-ads/,Social Media Marketing MASTERY | Learn Ads on 10+ Platforms,"MASTER online marketing on Twitter, Pinterest, Instagram, YouTube, Facebook, Google and more ad platforms! Coursenvy ®",COURSE ENVY,4.42162,€21.99
40,Marketing,https://www.udemy.com/course/google-analytics-certification/,Google Analytics Certification: Become Certified & Earn More,"Become Google Analytics Certified to Land a Job, Get Promoted or Start a New Career in Digital Marketing! 2020 Guide",Daragh Walsh,4.47445,€21.99
41,Marketing,https://www.udemy.com/course/seo-get-to-number1-in-google-search/,SEO 2020: Complete SEO Training + SEO for WordPress Websites,"Rank 1 on Google with Technical SEO, 1s Pagespeed, UX SEO, Backlink SEO, Keyword Research SEO + WordPress SEO Training",Arun Nagarathanam,4.35113,€21.99
42,Marketing,https://www.udemy.com/course/the-complete-copywriting-course/,The Complete Copywriting Course : Write to Sell Like a Pro,"Write Effective Sales Copy & Grow Your Business & Career // Access Timeless Copywriting Formulas, Templates & FREE Tools","Codestars by Rob Percival, Tamsin Henderson, Rob Percival",4.58395,€31.99
43,Marketing,https://www.udemy.com/course/learn-social-media-marketing-course/,Social Media Marketing - Complete Certificate Course,"The comprehensive social media course, beginner to advanced. Go viral, get started today!",SO ME Academy,4.27268,€21.99
44,Marketing,https://www.udemy.com/course/youtube-masterclass/,YouTube Masterclass - Your Complete Guide to YouTube,"Complete guide to starting a YouTube channel, getting more views & subscribers, and building a brand with videos!","Phil Ebiner, Michael Moyer, Video School",4.34246,€21.99
45,Marketing,https://www.udemy.com/course/clickbank-affiliate-marketing-success/,ClickBank Success – Affiliate Marketing Without A Website,Learn and model my proven system for success as a ClickBank affiliate. No hidden secrets - I reveal it all!,KC Tan,4.39793,€18.99
46,Marketing,https://www.udemy.com/course/instagram-masterclass-grow-your-account-complete-guide/,"Instagram Marketing 2020: Hashtags, Live, Stories, Ads &more","Watch me take an account from an idea to 40k followers in 4 months. 14 hours instruction, 8 hours of BTS videos",Evan Kimbrell,4.4548,€19.99
47,Marketing,https://www.udemy.com/course/growth-hacking-masterclass-become-a-digital-marketing-ninja/,[2020] Growth Hacking with Digital Marketing (Version 7.2),"Become a growth hacker! This course is used by teams at PayPal®, IBM®, Citibank® & many other successful organizations!","Davis Jones, Eazl (Official), Maja Voje",4.44148,€20.99
48,Marketing,https://www.udemy.com/course/copywriting-secrets/,Copywriting secrets - How to write copy that sells,Discover the secrets of copywriting success from the master. From novice to pro in easy stages,"Len Smith, Sean Kaye",4.44118,€21.99
49,IT and Software,https://www.udemy.com/course/aws-certified-solutions-architect-associate/,AWS Certified Solutions Architect - Associate 2020,Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!,"Ryan Kroonenburg, Mark Richman",4.52569,€16.99
50,IT and Software,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,Learn Ethical Hacking From Scratch,Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,"Zaid Sabih, z Security",4.54725,€11.99
51,IT and Software,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c02/,Ultimate AWS Certified Solutions Architect Associate 2020,Pass the AWS Certified Solutions Architect Associate Certification SAA-C02. Complete Amazon Web Services Cloud training!,Stephane Maarek | AWS Certified Solutions Architect & Developer Associate,4.70373,€16.99
52,IT and Software,https://www.udemy.com/course/aws-certified-developer-associate/,AWS Certified Developer - Associate 2020,Do you want AWS certification? Do you want to be an AWS Certified Developer Associate? This AWS online course is for you,"Ryan Kroonenburg, Faye Ellis",4.36223,€13.99
53,IT and Software,https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,The Complete Cyber Security Course : Hackers Exposed!,"Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking,  Learn IT Security &  INFOSEC",Nathan House,4.4828,€16.99
54,IT and Software,https://www.udemy.com/course/new-comptia-a-2019-certification-1001-the-total-course/,TOTAL: CompTIA A+ Certification (220-1001).,"Course 1: Everything you need to pass the A+ Certification Core 1 (220-1001) Exam, from Mike Meyers and Total Seminars.","Total Seminars • 500,000+ Enrollments, Mike Meyers",4.71277,€14.99
55,IT and Software,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/,Ultimate AWS Certified Developer Associate 2020 - NEW!,Become an AWS Certified Developer! Learn all Amazon Web Services Developer topics. PASS the AWS Certified Developer Exam,Stephane Maarek | AWS Certified Solutions Architect & Developer Associate,4.68658,€20.99
56,IT and Software,https://www.udemy.com/course/penetration-testing/,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",Ermin Kreponic,4.25592,€14.99
57,IT and Software,https://www.udemy.com/course/ccna-complete/,Cisco CCNA 200-301 – The Complete Guide to Getting Certified,The top rated CCNA course online and only one where all questions get a response. Full lab exercises included.,Neil Anderson,4.75102,€12.99
58,IT and Software,https://www.udemy.com/course/comptia-security-certification-sy0-501-the-total-course/,TOTAL: CompTIA Security+ Certification (SY0-501).,"Everything you need to pass the CompTIA Security+ SY0-501 Exam, from Mike Meyers. CompTIA expert and bestselling author.","Total Seminars • 500,000+ Enrollments, Mike Meyers",4.63328,€23.99
59,IT and Software,https://www.udemy.com/course/learn-linux-in-5-days/,Learn Linux in 5 Days and Level Up Your Career,Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.,Jason Cannon,4.49297,€11.99
60,IT and Software,https://www.udemy.com/course/ccna-on-demand-video-boot-camp/,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Chris Bryant,4.50678,€12.99
61,IT and Software,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,The Complete Networking Fundamentals Course. Your CCNA start,Learn about networking and start your journey to Cisco 200-301 Certification.,"David Bombal, Experts with David Bombal",4.60093,€19.99
62,IT and Software,https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,The Complete Oracle SQL Certification Course,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",Imtiaz Ahmad,4.5466,€18.99
63,IT and Software,https://www.udemy.com/course/70534-azure/,AZ-300/AZ-303 Azure Architecture Technologies Exam Prep 2020,Prove your Azure Architect Technology skills to the world. Complete AZ-300 & AZ-303 course. Update as of Sep 2020.,"Scott Duffy  • 415.000+ Students, Software Architect.ca",4.46742,€14.99
64,IT and Software,https://www.udemy.com/course/salesforce-administrator/,The Complete Salesforce Classic Administrator Certification,"Salesforce Admin 60 Question Practice Test Included! Join 70,000+ students.","Mike Wheeler, Aaron Wheeler",4.40701,€11.99
65,Personal Development,https://www.udemy.com/course/reikicourse/,"Reiki Level I, II and Master/Teacher Program","Learn Reiki Levels 1, 2 and Master Level to become a Certified Traditional Usui Reiki Practitioner/Instructor",Lisa Powers,4.69297,€18.99
66,Personal Development,https://www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,"Jonathan Levi, Lev Goldentouch, Anna Goldentouch, SuperHuman Academy®",4.51436,€23.99
67,Personal Development,https://www.udemy.com/course/life-coaching-online-certification-course-life-coach-training/,Life Coaching Certificate Course (Beginner to Advanced),This certified Life Coaching training course gives the essential training you need to become a highly-skilled Life Coach,"Kain Ramsay, Achology Ltd",4.56394,€18.99
68,Personal Development,https://www.udemy.com/course/investing-in-stocks/,Investing In Stocks  The Complete Course! (11 Hour),"Master Investing in the Stock Market with Stocks, Mutual Funds, ETF, from a Top Instructor & Millionaire Stock Portfolio","Steve Ballinger, MBA",4.4307,€19.99
69,Personal Development,https://www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-online-course/,NLP Practitioner Certification Course (Beginner to Advanced),"Dive deep into the psychology of the human mind, behaviour, and become certified in Neuro-Linguistic Programming (NLP)","Kain Ramsay, Achology Ltd",4.47392,€18.99
70,Personal Development,https://www.udemy.com/course/storytellingtoinfluence/,Storytelling to Influence,How to use stories to influence any audience!,Jeff Tan,4.2584,€18.99
71,Personal Development,https://www.udemy.com/course/productivity-and-time-management/,Productivity and Time Management for the Overwhelmed,A complete productivity and time management course designed to help you reduce your overwhelm and increase your results.,Josh Paulsen,4.45577,€18.99
72,Personal Development,https://www.udemy.com/course/reiki-master-certification-energy-healing/,"Reiki Level I, II and Master Certification - Energy Healing","Become a Certified Usui Reiki Practitioner - Heal Yourself, Family, Friends, Clients, Pets and More with Energy Healing!",Melissa Crowhurst,4.72344,€19.99
73,Personal Development,https://www.udemy.com/course/the-secrets-of-body-language-webinar/,The Secrets of Body Language,Learn how to interpret the body language of the people around you while perfecting your own nonverbal communication.,"Vanessa Van Edwards, Science of People",4.40316,€19.99
74,Personal Development,https://www.udemy.com/course/neuroplasticity/,Neuroplasticity: How To Rewire Your Brain,"How to develop mental flexibility, change habits, stop procrastination and alter memories based on neuroscience research",Gregory Caremans - Brain Academy,4.66803,€21.99
75,Personal Development,https://www.udemy.com/course/1000-watt-presence/,Radiate Confidence: How to Create a 1000 Watt Presence,"Helping you unlock your inner light, or presence, so you can easily, effortlessly connect with everyone you meet.",Alexa Fischer,4.48445,€18.99
76,Personal Development,https://www.udemy.com/course/mindfulness-training-course-online-mindfulness-practitioner/,"Mindfulness Certificate Course (Level I, II, III and Master)","Become certified in Mindfulness, a wisdom-based life discipline that enables profound personal growth and development.","Kain Ramsay, Achology Ltd",4.50825,€19.99
77,Personal Development,https://www.udemy.com/course/self-confidence-40-minute-confidence-self-esteem-guide/,SELF-CONFIDENCE: 40-minute Confidence & Self Esteem Guide,"Boost Your Confidence and Self Esteem, Handle Fear of Rejection, Learn Powerful Body Language, Feel Great About Yourself",Jimmy Naraine,4.44681,€20.99
78,Personal Development,https://www.udemy.com/course/stress-management-40-easy-ways-to-deal-with-stress/,Stress Management: 40+ easy ways to deal with stress,"Stress relief and burnout prevention. Don't let stress control your life. Beat anxiety and worries. Live, Laugh, Love.",Gregory Caremans - Brain Academy,4.46219,€18.99
79,Personal Development,https://www.udemy.com/course/a-practical-guide-to-negotiating/,Successful Negotiation: Master Your Negotiating Skills,Master negotiation with these negotiating tips,Chris Croft,4.53286,€23.99
80,Personal Development,https://www.udemy.com/course/technical_analysis/,Technical Analysis MasterClass:Trading By Technical Analysis,"Stock Market Technical Analysis Secrets for Forex , Stock Trading , Options , Swing Trading & Day Trading + ASSIGNMENTS","Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis",4.4362,€23.99
81,Business,https://www.udemy.com/course/the-complete-sql-bootcamp/,The Complete SQL Bootcamp 2020: Go from Zero to Hero,Become an expert at SQL!,Jose Portilla,4.68111,€18.99
82,Business,https://www.udemy.com/course/tableau10/,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!,"Kirill Eremenko, SuperDataScience Team",4.59632,€18.99
83,Business,https://www.udemy.com/course/pmp-pmbok6-35-pdus/,PMP Exam Prep Seminar -  PMBOK Guide 6,PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course,Joseph Phillips,4.5958,€20.99
84,Business,https://www.udemy.com/course/the-complete-financial-analyst-course/,The Complete Financial Analyst Course 2020,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",365 Careers,4.54444,€21.99
85,Business,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/,An Entire MBA in 1 Course:Award Winning Business School Prof,** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO,Chris Haroun,4.48544,€24.99
86,Business,https://www.udemy.com/course/powerbi-complete-introduction/,Microsoft Power BI - A Complete Introduction [2020 EDITION],"Learn how to use Microsoft's Power BI Tools, including Power BI Desktop, Power BI Pro (Service) and PowerBI Developer","Manuel Lorenz, Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.55588,€19.99
87,Business,https://www.udemy.com/course/agile-crash-course/,Agile Crash Course: Agile Project Management; Agile Delivery,Get Agile Certified & Learn about the key and most important concepts and tools of Agile Project Management (Scrum),Mauricio Rubio - Agile Guru & Founder of AgileKB | Ureducation,4.31691,€18.99
88,Business,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,Beginner to Pro in Excel: Financial Modeling and Valuation,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,365 Careers,4.55938,€21.99
89,Business,https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/,Become a Product Manager | Learn the Skills & Get the Job,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more","Cole Mercer, Evan Kimbrell",4.49234,€23.99
90,Business,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/,The Business Intelligence Analyst Course 2020,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",365 Careers,4.49073,€18.99
91,Business,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,Microsoft Power BI - Up & Running With Power BI Desktop,"Transform, analyze & visualize data with Microsoft Power BI Desktop: hands-on demos, projects & 1-on-1 Power BI support","Maven Analytics, Chris Dutton, Aaron Parry",4.64329,€18.99
92,Business,https://www.udemy.com/course/business-analysis-ba/,Business Analysis Fundamentals,"Set yourself up for success, learn the key business analysis concepts to thrive in your Business Analyst career",The BA Guide | Jeremy Aschenbrenner,4.48027,€18.99
93,Business,https://www.udemy.com/course/practical-leadership/,Leadership: Practical Leadership Skills,Master leadership skills and leadership techniques with this highly practical advice and training,Chris Croft,4.61211,€18.99
94,Business,https://www.udemy.com/course/foundation-course/,The Complete Foundation Stock Trading Course,"Learn To Trade The Stock Market by A Trading Firm CEO. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++","Mohsen Hassan, bloom team",4.53618,€18.99
95,Business,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/,SQL - MySQL for Data Analytics and Business Intelligence,"SQL that will get you hired – SQL for Business Analysis, Marketing, and Data Management",365 Careers,4.57243,€18.99
96,Business,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/,The Complete Financial Analyst Training & Investing Course,"Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital",Chris Haroun,4.51255,€19.99
97,Photography,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,Photography Masterclass: A Complete Guide to Photography,The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers,"Phil Ebiner, William Carnahan, Video School, Sam Shimizu-Jones",4.68396,€18.99
98,Photography,https://www.udemy.com/course/adobe-premiere-pro-video-editing/,Premiere Pro CC for Beginners: Video Editing in Premiere,Learn how to edit videos in Adobe Premiere Pro with these easy-to-follow Premiere Pro video editing tutorials.,"Phil Ebiner, Video School",4.60821,€19.99
99,Photography,https://www.udemy.com/course/iphonephotography/,iPhone Photography | Take Professional Photos On Your iPhone,Your Online Guide to Taking Stunning iPhone Photography Like a Professional Digital Photographer,Dale McManus,4.70325,€23.99
100,Photography,https://www.udemy.com/course/video-production-bootcamp/,The Complete Video Production Bootcamp,"Make better videos with the ultimate course on video production, planning, cinematography, editing & distribution.","Phil Ebiner, William Carnahan, Sam Shimizu-Jones, Video School",4.46542,€18.99
101,Photography,https://www.udemy.com/course/adobe-lightroom/,Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,"Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC and Adobe Lightroom CC, both versions!","Phil Ebiner, Jon H., Video School",4.35806,€19.99
102,Photography,https://www.udemy.com/course/jp-nikon-dslr-for-beginners/,Beginner Nikon Digital SLR (DSLR) Photography,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,JP Teaches Photo .,4.55572,€23.99
103,Photography,https://www.udemy.com/course/affinityphoto-solid-foundations/,Affinity Photo: Solid Foundations,The best selling beginners guide to Affinity Photo - complete with a 50 page PDF to aid your study!,Simon Foster,4.58707,€23.99
104,Photography,https://www.udemy.com/course/your-road-to-better-photography/,Your Road to Better Photography,Photography Made Simple!,Corey Reese,3.92737,€18.99
105,Photography,https://www.udemy.com/course/incrediblevideocreator/,Complete Filmmaker Guide: Become an Incredible Video Creator,Get 7 Years of Filmmaking Experience - Everything from Pre-Production to Editing - in 5 Hours,Julian Melanson,4.35872,€20.99
106,Photography,https://www.udemy.com/course/online-cinematography-course-filmmaking-video-production-lighting/,Cinematography Course: Shoot Better Video with Any Camera,Shoot better video by learning the video production techniques used by Hollywood filmmakers. And get paid to do it!,"Phil Ebiner, William Carnahan, Video School",4.28373,€20.99
107,Photography,https://www.udemy.com/course/adobe-lightroom-classic-cc-photo-editing-course/,Adobe Lightroom CC Photo Editing: Your Lightroom Masterclass,Learn how to make your photos look amazing with this Adobe Lightroom Classic CC and Lightroom CC photo editing course.,"Phil Ebiner, Video School",4.5477,€18.99
108,Photography,https://www.udemy.com/course/mastering-architecture-and-real-estate-photography/,Mastering Architecture and Real Estate Photography,"Start a business photographing real estate photography jobs for architects, builders, and real estate agents",Charlie Borland,4.4288,€19.99
109,Photography,https://www.udemy.com/course/food-photography/,Food Photography: Capturing Food in Your Kitchen,"With DIY Food Photography, you'll be taking better photos in no time with what you have in your own kitchen!","Phil Ebiner, William Carnahan, Video School",4.34228,€23.99
110,Photography,https://www.udemy.com/course/digital-photography-for-beginners-with-dslr-cameras/,Digital Photography for Beginners with DSLR cameras,Learn how to take stunning photographs by mastering both the technical and creative sides of digital photography.,Villiers Steyn,4.58247,€23.99
111,Photography,https://www.udemy.com/course/beginner-canon-digital-slr-dslr-photography-class-jp/,Beginner Canon Digital SLR (DSLR) Photography,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,JP Teaches Photo .,4.64295,€18.99
112,Photography,https://www.udemy.com/course/davinci-resolve-15-course/,Video Editing in DaVinci Resolve 16: Beginner to Advanced,Learn Video Editing in DaVinci Resolve 16 with  Color Correction & Color Grading & Visual Effects in DaVinci Resolve 16,Louay Zambarakji,4.57546,€18.99
